query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
18,4999932,14948,650418,1091,111838,992,6352,39928,6183,4011826,1502162,14204,3346004,2296119,209763,1717150,374114,39005,675771,261293,118978
19,4999932,1475,7223,292,4875288,74,176,35518,88,62417,26267,197,62859,62827,1589,53,8,7,24,8,5260
20,4999932,1252,6242,276,4887637,62,128,41464,50,52482,23693,172,47138,47078,1223,124,8,8,52,11,4716
21,4999932,13536,445922,1083,1406608,868,4848,535399,4083,2460577,294357,9133,2763568,2155436,147644,1095473,114438,28833,493694,166880,88481
22,4999932,33091,1495250,1091,35594,1046,6496,59863,6851,4041076,1419230,16368,3485245,1108098,269226,4169735,556388,101882,1820759,827156,272721
23,4999932,1386,5949,260,4961486,81,32,7549,26,19098,11628,67,19269,19258,442,21,0,3,11,6,5324
24,4999932,5347,82585,420,3832460,245,1472,54310,1334,889057,147401,3106,965761,779524,43351,231366,140517,3183,45720,16858,14508
25,4999932,1337,6714,276,4922393,64,96,34921,30,30693,21028,88,21590,21560,586,58,10,6,20,4,5936
26,4999932,1192,7251,292,4843406,107,176,48895,75,54006,29869,184,77762,77753,1538,15,2,4,7,1,5342
27,4999932,1243,6308,268,4939898,42,64,15229,30,34808,21129,113,23676,23545,707,198,71,10,60,12,5394
28,4999932,986,6442,268,4958737,45,64,19256,16,11279,7339,60,14600,14592,352,14,1,1,7,2,5966
29,4999932,35153,1347003,1091,108096,1222,6352,13127,7168,4038627,1479639,15731,3399070,1227523,260300,3859491,457674,94616,1713873,721033,246933
30,4999932,3373,33443,348,4421973,181,704,30422,493,417601,135636,1267,411901,366821,21053,51646,38458,783,6622,2219,7447
31,4999932,2980,49965,612,3319412,325,2192,216247,1498,1177517,188064,3448,1276209,1268696,31959,9076,5924,263,1589,505,11967
32,4999932,2740,74786,835,1959021,556,4160,456026,2540,2112921,297210,6015,2287675,2287627,48028,96,10,8,38,16,17623
33,4999932,1596,8057,308,4888424,89,144,22640,93,65847,21075,218,67793,66999,1828,995,599,47,195,66,5716
34,4999932,4194,52000,388,4057578,221,1216,9654,1080,737525,179019,2317,753681,651866,31620,117387,86079,1462,15736,5036,10264
35,4999932,3608,29725,364,4209178,155,1008,123728,569,526458,165406,1724,501620,464281,19026,39960,34716,535,2623,748,6968
36,4999932,1890,7974,292,4895662,53,112,18725,45,55679,21857,155,63688,63212,1975,635,314,36,162,47,5663
