Method,Dataset,TLB
sfa_equi-depth_True,HandOutlines,0.5946402988933522
sfa_equi-depth_False,HandOutlines,0.5963193950501141
isax,Haptics,0.41245773406235825
sfa_equi-width_True,Haptics,0.5624180947629136
sfa_equi-width_False,Haptics,0.5624180947629136
sfa_equi-depth_True,Haptics,0.6060530778021427
sfa_equi-depth_False,Haptics,0.6060530778021427
isax,Herring,0.2755041843293413
sfa_equi-width_True,Herring,0.5867971517223912
sfa_equi-width_False,Herring,0.5837949341541389
sfa_equi-depth_True,Herring,0.6152060666913726
sfa_equi-depth_False,Herring,0.6143411273931004
isax,HouseTwenty,0.44112733053117203
sfa_equi-width_True,HouseTwenty,0.4807917793171825
sfa_equi-width_False,HouseTwenty,0.4807917793171825
sfa_equi-depth_True,HouseTwenty,0.48876814742802305
sfa_equi-depth_False,HouseTwenty,0.48876814742802305
isax,InlineSkate,0.5431028248347842
sfa_equi-width_True,InlineSkate,0.642494297624263
sfa_equi-width_False,InlineSkate,0.642494297624263
sfa_equi-depth_True,InlineSkate,0.6567223379080331
sfa_equi-depth_False,InlineSkate,0.6567223379080331
isax,InsectEPGRegularTrain,0.5880131715434792
sfa_equi-width_True,InsectEPGRegularTrain,0.6268918855425287
sfa_equi-width_False,InsectEPGRegularTrain,0.6283235816004779
sfa_equi-depth_True,InsectEPGRegularTrain,0.6335940130440657
sfa_equi-depth_False,InsectEPGRegularTrain,0.6343201957705714
isax,InsectEPGSmallTrain,0.5938655655850191
sfa_equi-width_True,InsectEPGSmallTrain,0.6365080513487913
sfa_equi-width_False,InsectEPGSmallTrain,0.6377594979927785
sfa_equi-depth_True,InsectEPGSmallTrain,0.6324401304167897
sfa_equi-depth_False,InsectEPGSmallTrain,0.6328462240807256
isax,InsectWingbeatSound,0.4625603670581802
sfa_equi-width_True,InsectWingbeatSound,0.5978420731924284
sfa_equi-width_False,InsectWingbeatSound,0.5915333351970486
sfa_equi-depth_True,InsectWingbeatSound,0.5853617539745749
sfa_equi-depth_False,InsectWingbeatSound,0.5782152199513109
isax,ItalyPowerDemand,0.5240527023654729
sfa_equi-width_True,ItalyPowerDemand,0.6037120940967153
sfa_equi-width_False,ItalyPowerDemand,0.6038249128629757
sfa_equi-depth_True,ItalyPowerDemand,0.6246005175997434
sfa_equi-depth_False,ItalyPowerDemand,0.6230583015367678
isax,LargeKitchenAppliances,0.34557653279408856
sfa_equi-width_True,LargeKitchenAppliances,0.37133728430184243
sfa_equi-width_False,LargeKitchenAppliances,0.3722763635104634
sfa_equi-depth_True,LargeKitchenAppliances,0.39719192076104026
sfa_equi-depth_False,LargeKitchenAppliances,0.3976272760689057
isax,Lightning2,0.36677384103178795
sfa_equi-width_True,Lightning2,0.4614802550300826
sfa_equi-width_False,Lightning2,0.46689839810268846
sfa_equi-depth_True,Lightning2,0.47139366126313664
sfa_equi-depth_False,Lightning2,0.47705836169451143
isax,Lightning7,0.39214747442954234
sfa_equi-width_True,Lightning7,0.49376612426812744
sfa_equi-width_False,Lightning7,0.49480319681762874
sfa_equi-depth_True,Lightning7,0.48787380930429824
sfa_equi-depth_False,Lightning7,0.48776891328126537
isax,Mallat,0.26916908457006256
sfa_equi-width_True,Mallat,0.5387235567965231
sfa_equi-width_False,Mallat,0.5344725150616808
sfa_equi-depth_True,Mallat,0.5438871249733075
sfa_equi-depth_False,Mallat,0.5382987570780231
isax,Meat,0.0
sfa_equi-width_True,Meat,0.547203696048587
sfa_equi-width_False,Meat,0.5329859531932202
sfa_equi-depth_True,Meat,0.5866928673766645
sfa_equi-depth_False,Meat,0.5691106703555358
isax,MedicalImages,0.4246054545644334
sfa_equi-width_True,MedicalImages,0.5406858169676477
sfa_equi-width_False,MedicalImages,0.5431072288188948
sfa_equi-depth_True,MedicalImages,0.5806682519830411
sfa_equi-depth_False,MedicalImages,0.5804971171583932
isax,MiddlePhalanxOutlineAgeGroup,0.23685448043977791
sfa_equi-width_True,MiddlePhalanxOutlineAgeGroup,0.5699723990570897
sfa_equi-width_False,MiddlePhalanxOutlineAgeGroup,0.557111397411197
sfa_equi-depth_True,MiddlePhalanxOutlineAgeGroup,0.6752854086658145
sfa_equi-depth_False,MiddlePhalanxOutlineAgeGroup,0.6624799183530868
isax,MiddlePhalanxOutlineCorrect,0.2351753456629229
sfa_equi-width_True,MiddlePhalanxOutlineCorrect,0.5181852170083918
sfa_equi-width_False,MiddlePhalanxOutlineCorrect,0.504392837517638
sfa_equi-depth_True,MiddlePhalanxOutlineCorrect,0.6589170039037586
sfa_equi-depth_False,MiddlePhalanxOutlineCorrect,0.6469096943236172
isax,MiddlePhalanxTW,0.23594213313587806
sfa_equi-width_True,MiddlePhalanxTW,0.540606882298417
sfa_equi-width_False,MiddlePhalanxTW,0.5310013575478347
sfa_equi-depth_True,MiddlePhalanxTW,0.6319498848673484
sfa_equi-depth_False,MiddlePhalanxTW,0.6219601164355859
isax,MixedShapesRegularTrain,0.6159730323213104
sfa_equi-width_True,MixedShapesRegularTrain,0.637832310672817
sfa_equi-width_False,MixedShapesRegularTrain,0.637832310672817
sfa_equi-depth_True,MixedShapesRegularTrain,0.6707512751264
sfa_equi-depth_False,MixedShapesRegularTrain,0.6707512751264
isax,MixedShapesSmallTrain,0.6149458108829665
sfa_equi-width_True,MixedShapesSmallTrain,0.651272074448017
sfa_equi-width_False,MixedShapesSmallTrain,0.651272074448017
sfa_equi-depth_True,MixedShapesSmallTrain,0.6837913398272362
sfa_equi-depth_False,MixedShapesSmallTrain,0.6837913398272362
isax,MoteStrain,0.47769007443958106
sfa_equi-width_True,MoteStrain,0.5586768466556009
sfa_equi-width_False,MoteStrain,0.5622914040262159
sfa_equi-depth_True,MoteStrain,0.5567465459944784
sfa_equi-depth_False,MoteStrain,0.5615881671431925
isax,NonInvasiveFetalECGThorax1,0.33865770836589193
sfa_equi-width_True,NonInvasiveFetalECGThorax1,0.44326634541935767
sfa_equi-width_False,NonInvasiveFetalECGThorax1,0.43958384537712714
sfa_equi-depth_True,NonInvasiveFetalECGThorax1,0.5560512876081591
sfa_equi-depth_False,NonInvasiveFetalECGThorax1,0.5541062548132049
isax,NonInvasiveFetalECGThorax2,0.3350571727665016
sfa_equi-width_True,NonInvasiveFetalECGThorax2,0.4373985214766066
sfa_equi-width_False,NonInvasiveFetalECGThorax2,0.41423122531738266
sfa_equi-depth_True,NonInvasiveFetalECGThorax2,0.5195258570987653
sfa_equi-depth_False,NonInvasiveFetalECGThorax2,0.4976614264843797
isax,OliveOil,0.0
sfa_equi-width_True,OliveOil,0.3551592031591219
sfa_equi-width_False,OliveOil,0.36457457048964537
sfa_equi-depth_True,OliveOil,0.45254468063791925
sfa_equi-depth_False,OliveOil,0.4443026050154572
isax,OSULeaf,0.5981225502954126
sfa_equi-width_True,OSULeaf,0.6250316094469129
sfa_equi-width_False,OSULeaf,0.6250316094469129
sfa_equi-depth_True,OSULeaf,0.6421384127028062
sfa_equi-depth_False,OSULeaf,0.6421384127028062
isax,PhalangesOutlinesCorrect,0.27079608367447233
