Method,Dataset,Pruning Power
sfa_equi-width_False,DiatomSizeReduction,0.9607843137254902
sfa_equi-width_False,DistalPhalanxOutlineAgeGroup,0.9568345323741008
sfa_equi-width_False,DistalPhalanxOutlineCorrect,0.8913043478260869
sfa_equi-width_False,DistalPhalanxTW,0.7985611510791367
sfa_equi-width_False,DodgerLoopDay,0.6875
sfa_equi-width_False,DodgerLoopGame,0.11594202898550725
sfa_equi-width_False,DodgerLoopWeekend,0.12318840579710146
sfa_equi-width_False,Earthquakes,0.0
sfa_equi-width_False,ECG200,0.9
sfa_equi-width_False,ECG5000,0.9102222222222223
sfa_equi-width_False,ECGFiveDays,0.5923344947735192
sfa_equi-width_False,EOGHorizontalSignal,0.9530386740331491
sfa_equi-width_False,EOGVerticalSignal,0.925414364640884
sfa_equi-width_False,EthanolLevel,0.854
sfa_equi-width_False,FaceAll,0.42011834319526625
sfa_equi-width_False,FaceFour,0.6363636363636364
sfa_equi-width_False,FacesUCR,0.735609756097561
sfa_equi-width_False,FiftyWords,0.9648351648351648
sfa_equi-width_False,Fish,0.9428571428571428
sfa_equi-width_False,FordA,0.0
sfa_equi-width_False,FordB,0.0
sfa_equi-width_False,FreezerRegularTrain,0.927719298245614
sfa_equi-width_False,FreezerSmallTrain,0.8631578947368421
sfa_equi-width_False,Fungi,0.9301075268817204
sfa_equi-width_False,GestureMidAirD1,0.9692307692307692
sfa_equi-width_False,GestureMidAirD2,0.9384615384615385
sfa_equi-width_False,GestureMidAirD3,0.9692307692307692
sfa_equi-width_False,GesturePebbleZ1,0.3546511627906977
sfa_equi-width_False,GesturePebbleZ2,0.31645569620253167
sfa_equi-width_False,GunPoint,0.8933333333333333
sfa_equi-width_False,GunPointAgeSpan,0.9556962025316456
sfa_equi-width_False,GunPointMaleVersusFemale,0.9746835443037974
sfa_equi-width_False,GunPointOldVersusYoung,0.946031746031746
sfa_equi-width_False,Ham,0.37142857142857144
sfa_equi-width_False,HandOutlines,1.0
sfa_equi-width_False,Haptics,0.8441558441558441
sfa_equi-width_False,Herring,0.734375
sfa_equi-width_False,HouseTwenty,0.10084033613445378
sfa_equi-width_False,InlineSkate,0.9781818181818182
sfa_equi-width_False,InsectEPGRegularTrain,0.8353413654618473
sfa_equi-width_False,InsectEPGSmallTrain,0.8192771084337349
sfa_equi-width_False,InsectWingbeatSound,0.955050505050505
sfa_equi-width_False,ItalyPowerDemand,0.8678328474246841
sfa_equi-width_False,LargeKitchenAppliances,0.22933333333333333
sfa_equi-width_False,Lightning2,0.36065573770491804
sfa_equi-width_False,Lightning7,0.3424657534246575
sfa_equi-width_False,Mallat,0.7390191897654584
sfa_equi-width_False,Meat,0.9166666666666666
sfa_equi-width_False,MedicalImages,0.9526315789473684
sfa_equi-width_False,MiddlePhalanxOutlineAgeGroup,0.5454545454545454
sfa_equi-width_False,MiddlePhalanxOutlineCorrect,0.7044673539518901
sfa_equi-width_False,MiddlePhalanxTW,0.922077922077922
sfa_equi-width_False,MixedShapesRegularTrain,0.9806185567010309
